Set_database_ID	Set_Name	Set_Components	Set_Organism	Set_db_id
52	CCT complex (chaperonin containing TCP1 complex)	ENSG00000120438,ENSG00000166226,ENSG00000163468,ENSG00000115484,ENSG00000150753,ENSG00000146731,ENSG00000135624,ENSG00000156261	Mouse	52
53	Gbeta5-rgs7 complex	ENSG00000182901	Rat	53
55	HDAC4-ERK1 complex	ENSG00000068024,ENSG00000102882	Human	55
56	Elongin (SIII) complex	ENSG00000154582,ENSG00000011007	Rat	56
57	HDAC4-ERK2 complex	ENSG00000068024,ENSG00000100030	Human	57
58	SMRT complex	ENSG00000132522,ENSG00000171720,ENSG00000196498,ENSG00000101849,ENSG00000177565	Human	58
59	AP3 adapter complex	ENSG00000132842,ENSG00000103723,ENSG00000065000,ENSG00000185009,ENSG00000070718,ENSG00000177879,ENSG00000157823	Human	59
60	Interferon-stimulated gene factor 3 transcription complex ISGF3	ENSG00000213928,ENSG00000115415,ENSG00000170581	Human	60
61	Mi2/NuRD complex	ENSG00000111642,ENSG00000116478,ENSG00000196591,ENSG00000071655,ENSG00000149480,ENSG00000162521,ENSG00000102054	Human	61
65	Multiprotein trafficking complex	ENSG00000107282,ENSG00000147044,ENSG00000075711,ENSG00000184185,ENSG00000148943	Rat	65
67	AP4 adaptor complex	ENSG00000134262,ENSG00000081014,ENSG00000221838,ENSG00000100478	Human	67
69	ApoB RNA editing enzyme complex	ENSG00000148584,ENSG00000111701	Rat	69
70	CLIC4 complex	ENSG00000075624,ENSG00000166165,ENSG00000169504,ENSG00000079805,ENSG00000167552,ENSG00000108953,ENSG00000164924	Rat	70
75	TSC1-TSC2 complex	ENSG00000165699,ENSG00000103197	Human	75
76	Cytoplasmic dynein complex	ENSG00000197102,ENSG00000158560,ENSG00000144635,ENSG00000088986,ENSG00000125971,ENSG00000146425	Rat	76
77	nNos-Capon-Dexras1 complex	ENSG00000089250,ENSG00000198929,ENSG00000108551	Mouse	77
79	nNos-Capon-Syn1 complex	ENSG00000089250,ENSG00000198929,ENSG00000008056	Rat	79
81	Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	ENSG00000044090,ENSG00000174989,ENSG00000100387,ENSG00000113558	Human	81
84	Nucleic acid channel complex	ENSG00000014641,ENSG00000139496	Rat	84
86	NUMAC complex (nucleosomal methylation activator complex)	ENSG00000075624,ENSG00000117713,ENSG00000142453,ENSG00000142186,ENSG00000127616,ENSG00000099956,ENSG00000173473,ENSG00000139613,ENSG00000066117,ENSG00000073584	Human	86
87	Nup 107-160 subcomplex	ENSG00000111581,ENSG00000069248,ENSG00000030066,ENSG00000075188,ENSG00000120253,ENSG00000125450,ENSG00000110713,ENSG00000157020,ENSG00000085415	Human	87
88	SNARE complex (Scfd1, Sec22b, Stx5, Bet1, Gosr2, Gosr1)	ENSG00000105829,ENSG00000108587,ENSG00000108433,ENSG00000092108,ENSG00000162236	Rat	88
91	FA complex (Fanconi anemia complex), cytoplasmic	ENSG00000187741,ENSG00000158169,ENSG00000183161,ENSG00000221829	Human	91
92	CD28-transactivation complex	ENSG00000178562,ENSG00000115053	Human	92
95	Ku antigen-NARG1 complex	ENSG00000164134,ENSG00000079246,ENSG00000196419	Human	95
96	Anaphase-promoting complex	ENSG00000153107,ENSG00000164162,ENSG00000176248,ENSG00000053900,ENSG00000089053,ENSG00000196510,ENSG00000130177,ENSG00000094880,ENSG00000004897	Human	96
97	Anaphase-promoting complex	ENSG00000153107,ENSG00000164162,ENSG00000176248,ENSG00000053900,ENSG00000089053,ENSG00000196510,ENSG00000162592,ENSG00000130177,ENSG00000094880	Mouse	97
98	p300-MDM2-p53 protein complex	ENSG00000100393,ENSG00000135679,ENSG00000141510	Human	98
100	hNURF complex	ENSG00000171634,ENSG00000162521,ENSG00000102054,ENSG00000102038	Human	100
101	Nucleolar remodeling complex (NoRC complex)	ENSG00000076108,ENSG00000153147	Mouse	101
102	Meiotic cohesin complex	ENSG00000100918,ENSG00000077935,ENSG00000108055	Mouse	102
103	RNA polymerase II holoenzyme complex	ENSG00000104884,ENSG00000163161,ENSG00000137947,ENSG00000153767,ENSG00000197265,ENSG00000125651,ENSG00000188342,ENSG00000110768,ENSG00000145736,ENSG00000111358,ENSG00000181222,ENSG00000047315,ENSG00000102978,ENSG00000144231,ENSG00000099817,ENSG00000100142,ENSG00000168002,ENSG00000163882,ENSG00000105258,ENSG00000005075,ENSG00000147669,ENSG00000177700,ENSG00000112592	Human	103
104	RNA polymerase II core complex	ENSG00000181222,ENSG00000047315,ENSG00000102978,ENSG00000144231,ENSG00000099817,ENSG00000100142,ENSG00000168002,ENSG00000163882,ENSG00000105258,ENSG00000005075,ENSG00000147669,ENSG00000177700	Human	104
106	Srf-myogenin-E12 complex	ENSG00000122180,ENSG00000112658,ENSG00000071564	Mouse	106
109	Fertilin complex (Adam1b, Adam2)	ENSG00000104755	Mouse	109
112	Prefoldin complex	ENSG00000113068,ENSG00000143256,ENSG00000101132,ENSG00000123349,ENSG00000155959	Human	112
114	SNAPc (small nuclear RNA-activating protein) complex	ENSG00000023608,ENSG00000104976,ENSG00000164975,ENSG00000165684,ENSG00000174446	Human	114
116	Polycomb repressive complex 1 (PRC1, hPRC-H)	ENSG00000168283,ENSG00000141582,ENSG00000141570,ENSG00000111752,ENSG00000134686,ENSG00000173889,ENSG00000121481,ENSG00000010803,ENSG00000153147,ENSG00000100811	Human	116
117	GPR56-CD81-Galphaq/11-Gbeta complex	ENSG00000110651,ENSG00000205336,ENSG00000088256,ENSG00000156052,ENSG00000078369,ENSG00000172354,ENSG00000111664,ENSG00000114450	Human	117
118	GPI-GnT activity complex	ENSG00000165195,ENSG00000135845,ENSG00000100564,ENSG00000007541	Human	118
120	Lymphotoxin beta receptor complex	ENSG00000111321	Human	120
123	Rnase/Mrp complex	ENSG00000104356,ENSG00000105171,ENSG00000167272,ENSG00000172336,ENSG00000163684,ENSG00000178718,ENSG00000148688,ENSG00000152464,ENSG00000124787	Human	123
127	NDC80 kinetochore complex	ENSG00000080986,ENSG00000161888,ENSG00000152253	Human	127
129	PIDDsome complex	ENSG00000106144,ENSG00000169372,ENSG00000177595	Human	129
138	Telosome complex	ENSG00000102977,ENSG00000128513,ENSG00000147601,ENSG00000132604,ENSG00000166848,ENSG00000092330	Human	138
139	SDH-mABC1-PIC-ANT-ATPase complex	ENSG00000197150,ENSG00000152234,ENSG00000073578,ENSG00000117118,ENSG00000075415,ENSG00000151729,ENSG00000005022	Rat	139
140	E-box sequence-binding complex	ENSG00000133134,ENSG00000198728,ENSG00000135363,ENSG00000177551	Human	140
141	Sos1-Abi1-Eps8 complex	ENSG00000136754,ENSG00000151491,ENSG00000115904	Mouse	141
142	CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)	ENSG00000117362,ENSG00000172270,ENSG00000162736,ENSG00000080815,ENSG00000205155	Human	142
143	APP-FE65-LRP complex	ENSG00000166313,ENSG00000142192,ENSG00000123384	Human	143
144	Gamma-BAR-AP1 complex	ENSG00000100280,ENSG00000166747,ENSG00000213983,ENSG00000072958,ENSG00000129354,ENSG00000106367,ENSG00000182287,ENSG00000152056,ENSG00000138660	Human	144
146	Src-dynamin-synapsin complex	ENSG00000197122,ENSG00000008056,ENSG00000106976,ENSG00000079805	Mouse	146
148	Src-dynamin-synapsin-alpha-adaptin complex	ENSG00000183020,ENSG00000106976,ENSG00000197122,ENSG00000008056	Rat	148
149	PBAF complex (Polybromo- and BAF containing complex)	ENSG00000189079,ENSG00000163939,ENSG00000127616,ENSG00000099956,ENSG00000173473,ENSG00000139613,ENSG00000066117,ENSG00000073584,ENSG00000075624,ENSG00000184009,ENSG00000136518,ENSG00000077080	Human	149
152	TFIIE complex	ENSG00000153767,ENSG00000197265	Human	152
153	TFIIF complex (transcription factor IIF)	ENSG00000125651,ENSG00000188342	Human	153
154	Src1-Ep300-Crebbp complex	ENSG00000005339,ENSG00000100393,ENSG00000084676	Mouse	154
156	Retrotranslocation complex	ENSG00000136986,ENSG00000179409,ENSG00000162298	Human	156
157	Condensin I complex	ENSG00000010292,ENSG00000109805,ENSG00000121152,ENSG00000136824,ENSG00000113810	Human	157
158	ATP synthasome	ENSG00000152234,ENSG00000110955,ENSG00000165632,ENSG00000099624,ENSG00000116459,ENSG00000135390,ENSG00000154518,ENSG00000169020,ENSG00000154723,ENSG00000241837,ENSG00000075415,ENSG00000005022	Rat	158
159	Condensin I-PARP-1-XRCC1 complex	ENSG00000010292,ENSG00000109805,ENSG00000121152,ENSG00000143799,ENSG00000136824,ENSG00000113810,ENSG00000073050	Human	159
160	Condensin II	ENSG00000151503,ENSG00000146918,ENSG00000025770,ENSG00000136824,ENSG00000113810	Human	160
161	SWAP complex	ENSG00000115053,ENSG00000181163,ENSG00000143799,ENSG00000133789	Mouse	161
162	Conserved oligomeric Golgi (COG) complex	ENSG00000166685,ENSG00000135775,ENSG00000136152,ENSG00000103051,ENSG00000164597,ENSG00000133103,ENSG00000168434,ENSG00000213380	Human	162
165	Cohesin-SA1 complex	ENSG00000164754,ENSG00000072501,ENSG00000108055,ENSG00000118007	Human	165
166	Cohesin-SA2 complex	ENSG00000164754,ENSG00000072501,ENSG00000108055,ENSG00000101972	Human	166
168	Protein-sorting complex (Stam2, Hgs, Eps15)	ENSG00000085832,ENSG00000185359,ENSG00000115145	Mouse	168
170	Ric-8A G(i) alpha-1 subunit complex	ENSG00000065135,ENSG00000177963	Rat	170
171	Ric-8A G(i) alpha-2 subunit complex	ENSG00000114353,ENSG00000177963	Rat	171
172	Ric-8A G(o) alpha-1 subunit complex	ENSG00000087258,ENSG00000177963	Rat	172
173	MRN complex (MRE11-RAD50-NBN complex)	ENSG00000020922,ENSG00000104320,ENSG00000113522	Human	173
175	Ric-8A G(q) alpha subunit complex	ENSG00000177963	Rat	175
176	Ric-8A G alpha 13 complex	ENSG00000120063,ENSG00000177963	Rat	176
177	OGT-TRAK1-TRAK2 complex	ENSG00000147162,ENSG00000182606,ENSG00000115993	Human	177
179	Nephrin multiprotein complex	ENSG00000147044,ENSG00000140575,ENSG00000187391,ENSG00000161270,ENSG00000115306,ENSG00000197694,ENSG00000072110,ENSG00000130402	Rat	179
180	PNUTS-PP1 complex	ENSG00000172531	Human	180
181	26S proteasome	ENSG00000129084,ENSG00000106588,ENSG00000100567,ENSG00000143106,ENSG00000100902,ENSG00000101182,ENSG00000008018,ENSG00000126067,ENSG00000108294,ENSG00000159377,ENSG00000100804,ENSG00000142507,ENSG00000136930,ENSG00000100764,ENSG00000161057,ENSG00000165916,ENSG00000087191,ENSG00000100519,ENSG00000185627,ENSG00000159352	Human	181
182	Synaptotagmin-sodium channel complex (Syt1-Scn1a-Scn1b)	ENSG00000144285,ENSG00000105711,ENSG00000067715	Rat	182
183	Synaptotagmin-sodium channel complex (Syt2-Scn1a-Scn1b)	ENSG00000144285,ENSG00000105711,ENSG00000143858	Rat	183
184	Synaptotagmin-sodium channel complex  (Syt1-Scn2a-Scn1b)	ENSG00000105711,ENSG00000136531,ENSG00000067715	Rat	184
185	Synaptotagmin-sodium channel complex (Syt2-Scn2a-Scn1b)	ENSG00000105711,ENSG00000136531,ENSG00000143858	Rat	185
186	Wave-2 complex	ENSG00000136754,ENSG00000068793,ENSG00000061676,ENSG00000158195	Human	186
187	Wave-2 complex (Rac-activated)	ENSG00000136754,ENSG00000068793,ENSG00000061676,ENSG00000136238,ENSG00000158195	Mouse	187
188	Wave-2 complex	ENSG00000136754,ENSG00000068793,ENSG00000061676,ENSG00000158195	Mouse	188
189	BAF complex	ENSG00000080503,ENSG00000127616,ENSG00000099956,ENSG00000173473,ENSG00000139613,ENSG00000066117,ENSG00000073584,ENSG00000075624,ENSG00000184009,ENSG00000136518,ENSG00000077080,ENSG00000117713,ENSG00000049618	Human	189
190	Mitotic checkpoint complex (MCC)	ENSG00000156970,ENSG00000154473,ENSG00000117399,ENSG00000164109	Human	190
191	20S proteasome	ENSG00000129084,ENSG00000106588,ENSG00000100567,ENSG00000143106,ENSG00000100902,ENSG00000101182,ENSG00000008018,ENSG00000126067,ENSG00000108294,ENSG00000159377,ENSG00000100804,ENSG00000142507,ENSG00000136930	Human	191
192	PA28-20S proteasome	ENSG00000129084,ENSG00000106588,ENSG00000100567,ENSG00000143106,ENSG00000100902,ENSG00000101182,ENSG00000008018,ENSG00000126067,ENSG00000108294,ENSG00000159377,ENSG00000100804,ENSG00000142507,ENSG00000136930,ENSG00000092010,ENSG00000100911	Human	192
193	PA700-20S-PA28 complex	ENSG00000129084,ENSG00000106588,ENSG00000100567,ENSG00000143106,ENSG00000100902,ENSG00000101182,ENSG00000008018,ENSG00000126067,ENSG00000108294,ENSG00000159377,ENSG00000100804,ENSG00000142507,ENSG00000136930,ENSG00000100764,ENSG00000161057,ENSG00000165916,ENSG00000087191,ENSG00000100519,ENSG00000101843,ENSG00000197170,ENSG00000185627,ENSG00000115233,ENSG00000175166,ENSG00000108344,ENSG00000159352,ENSG00000095261,ENSG00000163636,ENSG00000103035,ENSG00000099341,ENSG00000110801,ENSG00000092010,ENSG00000100911	Human	193
194	PA28gamma-20S proteasome	ENSG00000129084,ENSG00000106588,ENSG00000100567,ENSG00000143106,ENSG00000100902,ENSG00000101182,ENSG00000008018,ENSG00000126067,ENSG00000108294,ENSG00000159377,ENSG00000100804,ENSG00000142507,ENSG00000136930,ENSG00000131467	Human	194
195	Ubiquitin E3 ligase (Lrrc41, Tceb1, Tceb2, Cul5, Rbx1)	ENSG00000166266,ENSG00000132128,ENSG00000100387,ENSG00000154582	Rat	195
196	Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul5, Rbx1)	ENSG00000166266,ENSG00000100387,ENSG00000154582,ENSG00000134086	Rat	196
197	Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul2, Rbx1)	ENSG00000100387,ENSG00000154582,ENSG00000134086	Rat	197
198	Ubiquitin E3 ligase (Tceb1, Tceb2, Tceb3, Cul5, Rbx1)	ENSG00000166266,ENSG00000100387,ENSG00000154582,ENSG00000011007	Rat	198
199	Ubiquitin E3 ligase (Socs1, Tceb1, Tceb2, Cul5, Rbx1)	ENSG00000166266,ENSG00000100387,ENSG00000185338,ENSG00000154582	Rat	199
201	HUIC complex	ENSG00000138376,ENSG00000012048	Human	201
203	Ubiquitin E3 ligase (Med8, Tceb1, Tceb2, Cul2, Rbx1)	ENSG00000100387,ENSG00000154582	Rat	203
204	Ubiquitin E3 ligase (Asb2, Tceb1, Tceb2, Cul5, Rbx1)	ENSG00000100628,ENSG00000166266,ENSG00000100387,ENSG00000154582	Rat	204
207	Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)	ENSG00000100628,ENSG00000166266,ENSG00000114125,ENSG00000154582,ENSG00000103363	Human	207
208	Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)	ENSG00000065802,ENSG00000166266,ENSG00000114125,ENSG00000154582,ENSG00000103363	Human	208
209	Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)	ENSG00000148331,ENSG00000166266,ENSG00000114125,ENSG00000154582,ENSG00000103363	Human	209
210	Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)	ENSG00000183475,ENSG00000166266,ENSG00000114125,ENSG00000154582,ENSG00000103363	Human	210
211	Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)	ENSG00000198881,ENSG00000166266,ENSG00000114125,ENSG00000154582,ENSG00000103363	Human	211
213	DNA ligase IV-XRCC1 complex	ENSG00000174405,ENSG00000073050	Human	213
214	Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)	ENSG00000166266,ENSG00000100387,ENSG00000154582,ENSG00000103363,ENSG00000109046	Human	214
216	PDZK1-NaPiIIa-MAP17 complex	ENSG00000174827,ENSG00000162366,ENSG00000131183	Mouse	216
219	CAND1-CUL1-RBX1 complex	ENSG00000111530,ENSG00000055130,ENSG00000100387	Human	219
220	ARF-Mule complex	ENSG00000147889,ENSG00000086758,ENSG00000181163	Human	220
221	CAND1-CUL2-RBX1 complex	ENSG00000111530,ENSG00000108094,ENSG00000100387	Human	221
222	CAND1-CUL3-RBX1 complex	ENSG00000111530,ENSG00000036257,ENSG00000100387	Human	222
223	CAND1-CUL4A-RBX1 complex	ENSG00000111530,ENSG00000139842,ENSG00000100387	Human	223
224	CAND1-CUL4B-RBX1 complex	ENSG00000111530,ENSG00000158290,ENSG00000100387	Human	224
227	Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)	ENSG00000166167,ENSG00000055130,ENSG00000113558	Human	227
229	NAT complex	ENSG00000112237,ENSG00000132964,ENSG00000133398,ENSG00000180182,ENSG00000152944,ENSG00000112282,ENSG00000133997	Human	229
230	Mediator complex	ENSG00000112237,ENSG00000155111,ENSG00000132964,ENSG00000125686,ENSG00000133398,ENSG00000161920,ENSG00000184634,ENSG00000108510,ENSG00000123066,ENSG00000180182,ENSG00000099917,ENSG00000175221,ENSG00000042429,ENSG00000124641,ENSG00000152944,ENSG00000148297,ENSG00000112282,ENSG00000008838,ENSG00000104973,ENSG00000105085,ENSG00000160563,ENSG00000118579,ENSG00000063322,ENSG00000164758,ENSG00000108590,ENSG00000136146,ENSG00000133997,ENSG00000155868,ENSG00000159479,ENSG00000141026,ENSG00000156603	Human	230
232	ARC complex	ENSG00000151498,ENSG00000125686,ENSG00000184634,ENSG00000108510,ENSG00000180182,ENSG00000099917,ENSG00000042429,ENSG00000112282,ENSG00000008838,ENSG00000104973,ENSG00000105085,ENSG00000136146,ENSG00000133997,ENSG00000155868,ENSG00000159479	Human	232
234	HuCHRAC complex	ENSG00000198604,ENSG00000104472,ENSG00000148229,ENSG00000153147	Human	234
236	WICH complex	ENSG00000009954,ENSG00000153147	Human	236
237	Ags3-Lkb1-Gnai3 complex	ENSG00000065135,ENSG00000160360	Rat	237
238	SWI-SNF chromatin remodeling-related-BRCA1 complex	ENSG00000136518,ENSG00000012048,ENSG00000080503,ENSG00000127616,ENSG00000099956,ENSG00000173473,ENSG00000139613,ENSG00000108604,ENSG00000073584,ENSG00000117713,ENSG00000049618	Human	238
239	Sin3-Hdac1-Sds3 complex	ENSG00000127511,ENSG00000111707	Mouse	239
240	BRCA1-CTIP-ZBRK1 repressor complex	ENSG00000012048,ENSG00000101773,ENSG00000197619	Human	240
242	BRCA1-BACH1 complex	ENSG00000012048,ENSG00000136492	Human	242
243	RalBP1-CDC2-CCNB1 complex	ENSG00000134057,ENSG00000170312,ENSG00000017797	Human	243
244	BRAFT complex	ENSG00000197299,ENSG00000187741,ENSG00000158169,ENSG00000112039,ENSG00000183161,ENSG00000221829,ENSG00000115392,ENSG00000076242,ENSG00000178966,ENSG00000132383,ENSG00000117748,ENSG00000106399,ENSG00000177302	Human	244
246	BLM complex III	ENSG00000197299,ENSG00000076242,ENSG00000178966,ENSG00000177302	Human	246
247	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex	ENSG00000134057,ENSG00000063245,ENSG00000133961,ENSG00000017797,ENSG00000196961,ENSG00000183020	Human	247
249	Caspase-2-TRAF2-RIP1 complex	ENSG00000106144,ENSG00000017797,ENSG00000127191	Mouse	249
251	BCDX2 complex	ENSG00000108384,ENSG00000182185,ENSG00000185379,ENSG00000196584	Human	251
253	RAD51C-XRCC3 complex	ENSG00000108384,ENSG00000126215	Human	253
254	TBPIP/HOP2-MND1 complex	ENSG00000121211,ENSG00000131470	Human	254
256	RAD51B-RAD51C complex	ENSG00000108384,ENSG00000182185	Human	256
257	Hop2-Mnd1 complex	ENSG00000121211,ENSG00000131470	Mouse	257
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	ENSG00000108384,ENSG00000182185,ENSG00000185379,ENSG00000196584,ENSG00000126215	Human	261
264	R/M complex (RAD50-MRE11 complex)	ENSG00000020922,ENSG00000113522	Human	264
265	ATR-ATRIP complex	ENSG00000175054,ENSG00000164053	Human	265
270	RAD17-RFC complex	ENSG00000152942,ENSG00000049541,ENSG00000133119,ENSG00000163918,ENSG00000111445	Human	270
272	Dysbindin-pallidin-muted-beta-dystrobrevin complex	ENSG00000138101,ENSG00000047579,ENSG00000104164	Mouse	272
274	RAD17-RFC-9-1-1 checkpoint supercomplex	ENSG00000136273,ENSG00000113456,ENSG00000152942,ENSG00000172613,ENSG00000049541,ENSG00000133119,ENSG00000163918,ENSG00000111445	Human	274
280	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	ENSG00000111640,ENSG00000164104,ENSG00000109971,ENSG00000167004	Human	280
282	SNF2h-cohesin-NuRD complex	ENSG00000198604,ENSG00000170004,ENSG00000116478,ENSG00000196591,ENSG00000134046,ENSG00000071655,ENSG00000182979,ENSG00000149480,ENSG00000164754,ENSG00000162521,ENSG00000102054,ENSG00000153147,ENSG00000072501,ENSG00000108055,ENSG00000118007,ENSG00000101972	Human	282
284	CRSP complex	ENSG00000125686,ENSG00000180182,ENSG00000099917,ENSG00000042429,ENSG00000152944,ENSG00000112282,ENSG00000008838,ENSG00000104973,ENSG00000105085,ENSG00000133997,ENSG00000155868	Human	284
285	PCNA-MLH1-PMS1 complex	ENSG00000076242,ENSG00000132646,ENSG00000064933	Human	285
286	PCNA-MSH2-MSH6 complex	ENSG00000095002,ENSG00000116062,ENSG00000132646	Human	286
287	ARC-L complex	ENSG00000112237,ENSG00000132964,ENSG00000125686,ENSG00000184634,ENSG00000108510,ENSG00000180182,ENSG00000099917,ENSG00000042429,ENSG00000152944,ENSG00000112282,ENSG00000008838,ENSG00000104973,ENSG00000133997,ENSG00000155868	Human	287
288	ARC complex	ENSG00000112237,ENSG00000132964,ENSG00000125686,ENSG00000184634,ENSG00000108510,ENSG00000180182,ENSG00000099917,ENSG00000042429,ENSG00000152944,ENSG00000112282,ENSG00000008838,ENSG00000104973,ENSG00000105085,ENSG00000133997,ENSG00000155868	Human	288
294	DNA polymerase delta complex	ENSG00000062822,ENSG00000106628,ENSG00000077514,ENSG00000175482	Mouse	294
295	PCNA-DNA ligase complex	ENSG00000105486,ENSG00000132646,ENSG00000106628,ENSG00000077514	Mouse	295
297	PCNA-DNA polymerase delta complex	ENSG00000132646,ENSG00000062822,ENSG00000106628,ENSG00000077514,ENSG00000175482	Human	297
298	VEGF transcriptional complex	ENSG00000100823,ENSG00000100644,ENSG00000168610,ENSG00000125931,ENSG00000164442,ENSG00000179862	Human	298
299	IRF3-CBP complex	ENSG00000126456,ENSG00000125931,ENSG00000164442,ENSG00000179862	Human	299
300	PC2 complex	ENSG00000133398,ENSG00000180182,ENSG00000175221,ENSG00000042429,ENSG00000124641,ENSG00000152944,ENSG00000008838,ENSG00000160563,ENSG00000108590,ENSG00000133997,ENSG00000155868,ENSG00000054118	Human	300
301	SMCC complex	ENSG00000112237,ENSG00000132964,ENSG00000125686,ENSG00000133398,ENSG00000184634,ENSG00000108510,ENSG00000180182,ENSG00000175221,ENSG00000042429,ENSG00000124641,ENSG00000152944,ENSG00000008838,ENSG00000160563,ENSG00000108590,ENSG00000133997,ENSG00000155868,ENSG00000054118	Human	301
302	INO80 chromatin remodeling complex	ENSG00000136518,ENSG00000101442,ENSG00000113812,ENSG00000153391,ENSG00000169592,ENSG00000114933,ENSG00000128908,ENSG00000187778,ENSG00000170322,ENSG00000175792,ENSG00000183207,ENSG00000071564,ENSG00000115274	Human	302
304	SRCAP-associated chromatin remodeling complex	ENSG00000136518,ENSG00000075089,ENSG00000145088,ENSG00000164032,ENSG00000175792,ENSG00000183207,ENSG00000080603,ENSG00000163159,ENSG00000127337,ENSG00000106400	Human	304
